Stkcd [证券代码] - 以沪、深、北证券交易所公布的证券代码为准。
ShortName [证券简称] - 以沪、深、北证券交易所公布的证券简称为准。
Accper [统计截止日期] - YYYY-MM-DD，前四位表示会计报表公布年度
Typrep [报表类型编码] - A＝合并本期，B＝母公司本期，C＝合并上期 ，D＝母公司上期。
DataSources [公告来源] - 0=定期公告
SubjectCode [科目编码] - 1-股本，2-资本公积，3-库存股，4-盈余公积，5-专项储备，6-一般风险准备，7-交易风险准备，8-未分配利润，9外币报表折算差额，10-其他，11-归属于母公司所有者权益，12-少数股东权益，13-其他综合收益，14-其他权益工具，15-所有者权益合计
SubjectName [科目名称] - 科目编码对应的内容
Fn04601 [上期期末余额] - 上期期末余额
Fn04602 [会计政策变更] - 反映采用追溯调整法处理的会计政策变更的累积影响金额
Fn04603 [前期差错更正] - 采用追溯重述法处理的会计差错更正的累积影响金额
Fn04604 [前期调整的其他项目] - 前期调整的其他项目
Fn04605 [本期期初余额] - 本期期初余额
Fn04606 [本期增减变动金额] - 本期增减变动金额
Fn04607 [净利润] - 反映企业当期实现的净利润(或净亏损)金额
Fn04608 [其他综合收益] - 企业根据企业会计准则规定未在损益中确认的各项利得和损失扣除所得税影响后的净额。
Fn04609 [可供出售金融资产公允价值变动净额] - 反映企业持有的可供出售金融资产当期公允价值变动的金额
Fn04610 [可供出售金融资产：计入所有者权益的金额] - 可供出售金融资产计入所有者权益的金额
Fn04611 [可供出售金融资产：转入当期损益的金额] - 可供出售金融资产转入当期损益的金额
Fn04612 [现金流量套期工具公允价值变动净额] - 反映企业持有的套期工具当期公允价值变动的金额
Fn04613 [现金流量套期工具：计入所有者权益的金额] - 现金流量套期工具计入所有者权益的金额
Fn04614 [现金流量套期工具：转入当期损益的金额] - 现金流量套期工具转入当期损益的金额
Fn04615 [现金流量套期工具：计入被套期项目初始确认金额中的金额] - 现金流量套期工具计入被套期项目初始确认金额中的金额
Fn04616 [长期股权投资权益法下被投资单位其他所有者权益变动的影响] - 反映企业对按照权益法核算的长期股权投资，在被投资单位除当年实现的净损益以外其他所有者权益当期变动中应享有的份额
Fn04617 [外币报表折算差额] - 因记账本位币不同而产生的货币折算差额。
Fn04618 [与计入所有者权益项目相关的所得税影响] - 反映企业根据《企业会计准则第18号——所得税》规定应计入所有者权益项目的当年所得税影响金额
Fn04619 [其他直接计入所有者权益的利得和损失] - 不应计入当期损益、会导致所有者权益变动的、与所有者投入资本或向所有者分配利润无关的利得或损失
Fn04620 [综合收益总额] - 反映企业净利润与其他综合收益的合计金额
Fn04621 [所有者投入和减少资本] - 反映企业当期所有者投入的资本和减少的资本
Fn04622 [所有者投入资本] - 反映企业接受投资者投入形成的实收资本(或股本)和资本溢价或股本溢价
Fn04623 [其他权益工具持有者投入资本] - 反映企业接受其他权益工具持有者投入资本
Fn04624 [股份支付计入所有者权益金额] - 反映企业处于等待期中的权益结算的股份支付当期计入资本公积的金额
Fn04625 [股东减少资本] - 反映企业当期股东减少资本
Fn04626 [和所有者投资相关的其他项目] - 反映企业当期和所有者投资相关的其他项目金额
Fn04627 [利润分配] - 反映企业当期的利润分配金额
Fn04628 [提取盈余公积] - 反映企业按照规定提取的盈余公积
Fn04629 [提取一般风险准备] - 反映企业按照规定提取的一般风险准备
Fn04630 [提取交易风险准备] - 反映企业按照规定提取的交易风险准备
Fn04631 [对股东的分配] - 反映对所有者(或股东)分配的利润(或股利)金额
Fn04632 [利润分配的其他项目] - 反映企业当期的利润分配的其他项目金额
Fn04633 [所有者权益内部结转] - 反映企业构成所有者权益的组成部分之间的增减变动情况
Fn04634 [资本公积转增股本] - 反映企业以资本公积转增资本或股本的金额
Fn04635 [盈余公积转增股本] - 反映企业以盈余公积转增资本或股本的金额
Fn04636 [盈余公积弥补亏损] - 反映企业以盈余公积弥补亏损的金额
Fn04637 [一般风险准备弥补亏损] - 反映企业以一般风险准备弥补亏损的金额
Fn04638 [所有者权益内部结转的其他项目] - 反映企业当期所有者权益内部结转的其他项目金额
Fn04639 [专项储备] - 反映企业当期的专项储备金额
Fn04640 [本期计提] - 本期计提
Fn04641 [本期使用] - 本期使用
Fn04642 [其他] - 其他
Fn04643 [期末余额] - 期末余额
