Stkcd [证券代码] - 以沪、深、北证券交易所公布的证券代码为准。
ShortName [证券简称] - 以沪、深、北证券交易所公布的证券简称为准。
Accper [统计截止日期] - 指会计报表日，统一用10位字符表示，如1999-12-31。
Typrep [报表类型] - 指上市公司的财务报表中反映的是合并报表或者母公司报表。“A＝合并报表”、“B＝母公司报表”。
IfCorrect [是否发生差错更正] - 会计期间内是否发生差错更正。0：否；1：是
DeclareDate [差错更正披露日期] - 差错更正公告的披露日期。若发生多次差错更正，并列展示，用逗号隔开。
B001100000 [营业总收入] - 企业经营过程中所有收入之和。 计算公式为：营业总收入=营业收入+利息净收入+已赚保费+手续费及佣金净收入+其他业务收入。
B001101000 [营业收入] - 企业经营过程中确认的营业收入。
Bbd1102000 [利息净收入] - 企业所确认的利息收入与发生的利息支出之差额。
Bbd1102101 [利息收入] - 企业（金融）确认的利息收入，包括发放的各类贷款（银团贷款、贸易融资、贴现和转贴现融出资金、协议透支、信用卡透支、转贷款、垫款等）、与其他金融机构（中央银行、同业等）之间发生资金往来业务、买入返售金融资产等实现的利息收入等。
Bbd1102203 [利息支出] - 企业（金融）发生的利息支出，包括吸收的各种存款（单位存款、个人存款、信用卡存款、特种存款、转贷款资金等）、与其他金融机构（中央银行、同业等）之间发生资金往来业务、卖出回购金融资产等产生的利息支出。
B0i1103000 [已赚保费] - 反映"保险业务收入"项目金额减去"分出保费"及“提取未到期责任准备金”项目金额后的余额。
B0i1103101 [保险业务收入] - 反映企业从事保险业务确认的原保费收入和分保费收入。
B0i1103111 [其中：分保费收入] - 反映企业从事再保险业务确认的收入。
B0i1103203 [减：分出保费] - 反映企业从事再保险业务分出的保费。
B0i1103303 [减：提取未到期责任准备金] - 企业（保险）提取的非寿险原保险合同未到期责任准备金和再保险合同分保未到期责任准备金。
B0d1104000 [手续费及佣金净收入] - 企业确认的手续费及佣金收入与发生的各项手续费、佣金支出之差额。
B0d1104101 [其中：代理买卖证券业务净收入] - 证券公司代理买卖证券业务收入与支出之差额。
B0d1104201 [其中:证券承销业务净收入] - 证券公司证券承销业务收入与支出之差额。
B0d1104301 [其中：受托客户资产管理业务净收入] - 证券公司受托客户资产管理业务收入与支出之差额。
B0d1104401 [手续费及佣金收入] - 企业（金融）确认的手续费及佣金收入，包括办理结算业务、咨询业务、担保业务、代保管等代理业务以及办理受托贷款及投资业务等取得的手续费及佣金.
B0d1104501 [手续费及佣金支出] - 企业（金融）发生的与其经营活动相关的各项手续费、佣金等支出。
B0f1105000 [其他业务收入] - 企业经营的其他业务所确认的收入。
B001200000 [营业总成本] - 企业经营过程中所有成本之和。2019.06.30之前，计算公式为：营业总成本=营业成本+退保金+赔付支出净额+提取保险责任准备金净额+保单红利支出+分保费用-减：摊回分保费用+税金及附加+业务及管理费+保险业务手续费及佣金支出+销售费用+管理费用+财务费用+研发费用+其他业务成本+资产减值损失+信用减值损失；2019.06.30（含）之后：计算公式为：营业总成本=营业成本+退保金+赔付支出净额+提取保险责任准备金净额+保单红利支出+分保费用-减：摊回分保费用+税金及附加+业务及管理费+保险业务手续费及佣金支出+销售费用+管理费用+财务费用+研发费用+其他业务成本；其中，2019.01.01的数据因提取的是2019.12.31的期初数据，所以计算公式符合2019.06.30之后的计算公式。
B001201000 [营业成本] - 企业确认的营业成本。
B0i1202000 [退保金] - 企业（保险）寿险原保险合同提前解除时按照约定应当退还投保人的保单现金价值。
B0i1203000 [赔付支出净额] - 反映“赔付支出”项目金额减去“摊回赔付支出”项目金额后的余额。
B0i1203101 [赔付支出] - 企业（保险）支付的原保险合同赔付款项和再保险合同赔付款项。
B0i1203203 [减：摊回赔付支出] - 企业（再保险分出人）向再保险接受人摊回的赔付成本。
B0i1204000 [提取保险责任准备金净额] - 反映“提取保险责任准备金”项目金额减去“摊回保险责任准备金”项目金额后的余额。
B0i1204101 [提取保险责任准备金] - 反映企业提取的保险责任准备金，包括未决赔款准备金、寿险准备金、长期健康险准备金。
B0i1204203 [减：摊回保险责任准备金] - 企业（再保险分出人）从事再保险业务应向再保险接受人摊回的保险责任准备金。
B0i1205000 [保单红利支出] - 企业（保险）按原保险合同约定支付给投保人的红利.
B0i1206000 [分保费用] - 企业（再保险接受人）向再保险分出人支付的分保费用。
B001207000 [税金及附加] - 企业经营活动发生的营业税、消费税、城市维护建设税、资源税和教育费附加等相关税费。2007年新准则后取消“主营业务税金及附加”，使用“营业税金及附加”。根据财会[2016]22号文规定，全面试行“营业税改征增值税”后，“营业税金及附加”科目名称调整为“税金及附加”科目。
B0f1208000 [业务及管理费] - 是企业（金融）在业务经营和管理过程中所发生的各项费用，包括电子设备运转费、安全防范费、物业管理费等费用。
B0i1208103 [减：摊回分保费用] - 反映企业从事再保险分出业务向再保险接受人摊回的分保费用。
B0I1214000 [保险业务手续费及佣金支出] - 反映企业从事保险业务产生的手续费及佣金支出。
B001209000 [销售费用] - 公司商品销售过程中发生的费用。包括运输费、装卸费、包装费、保险费、展览费和广告费等。
B001210000 [管理费用] - 企业为组织和管理企业生产经营所发生的管理费用。2007年新准则后原管理费用的资产减值损失列入“资产减值损失”科目核算。
B001216000 [研发费用] - 研发费用也就是研究开发成本支出。2018年起使用。
